,budget,id,popularity,revenue,runtime,title,vote_average,vote_count
0,237000000,19995,150.437577,2787965087,162,Avatar,7.2,11800
1,300000000,285,139.082615,961000000,169,Pirates of the Caribbean: At World's End,6.9,4500
2,245000000,206647,107.376788,880674609,148,Spectre,6.3,4466
3,250000000,49026,112.31295,1084939099,165,The Dark Knight Rises,7.6,9106
4,260000000,49529,43.926995,284139100,132,John Carter,6.1,2124
5,258000000,559,115.699814,890871626,139,Spider-Man 3,5.9,3576
6,260000000,38757,48.681969,591794936,100,Tangled,7.4,3330
7,280000000,99861,134.279229,1405403694,141,Avengers: Age of Ultron,7.3,6767
8,250000000,767,98.885637,933959197,153,Harry Potter and the Half-Blood Prince,7.4,5293
9,250000000,209112,155.790452,873260194,151,Batman v Superman: Dawn of Justice,5.7,7004
11,200000000,10764,107.928811,586090727,106,Quantum of Solace,6.1,2965
12,200000000,58,145.847379,1065659812,151,Pirates of the Caribbean: Dead Man's Chest,7,5246
13,255000000,57201,49.046956,89289910,149,The Lone Ranger,5.9,2311
14,225000000,49521,99.398009,662845518,143,Man of Steel,6.5,6359
16,220000000,24428,144.448633,1519557910,143,The Avengers,7.4,11776
17,380000000,1865,135.413856,1045713802,136,Pirates of the Caribbean: On Stranger Tides,6.4,4948
18,225000000,41154,52.035179,624026776,106,Men in Black 3,6.2,4160
19,250000000,122917,120.965743,956019788,144,The Hobbit: The Battle of the Five Armies,7.1,4760
20,215000000,1930,89.866276,752215857,136,The Amazing Spider-Man,6.5,6586
21,200000000,20662,37.668301,310669540,140,Robin Hood,6.2,1398
22,250000000,57158,94.370564,958400000,161,The Hobbit: The Desolation of Smaug,7.6,4524
23,180000000,2268,42.990906,372234864,113,The Golden Compass,5.8,1303
25,200000000,597,100.025899,1845034188,194,Titanic,7.5,7562
26,250000000,271110,198.372395,1153304495,147,Captain America: Civil War,7.1,7241
28,150000000,135397,418.708552,1513528810,124,Jurassic World,6.5,8662
29,200000000,37724,93.004993,1108561013,143,Skyfall,6.9,7604
30,200000000,558,35.149586,783766341,127,Spider-Man 2,6.7,4321
31,200000000,68721,77.68208,1215439994,130,Iron Man 3,6.8,8806
32,200000000,12155,78.530105,1025491110,108,Alice in Wonderland,6.4,4645
35,150000000,8373,21.939663,836297228,150,Transformers: Revenge of the Fallen,6,3138
36,210000000,91314,116.840296,1091405097,165,Transformers: Age of Extinction,5.8,3095
37,200000000,68728,46.985445,491868548,130,Oz: The Great and Powerful,5.7,3530
38,200000000,102382,89.270217,705717432,142,The Amazing Spider-Man 2,6.5,4179
39,170000000,20526,73.79505,400062763,125,TRON: Legacy,6.3,2841
40,200000000,49013,49.98659,559852396,106,Cars 2,5.8,2033
41,200000000,44912,51.872839,219851172,114,Green Lantern,5.1,2487
